# TIME = 0.000000
VARIABLES = X, Y, Z, U, V, W
ZONE N=362 E=720 F=FEPOINT ET=TRIANGLE
-0.5798150 -0.5798150 0.5244540 0.00000 0.00000 0.00000
-0.3912417 -0.6330423 0.4299222 0.00000 0.00000 0.00000
-0.6743468 -0.3912417 0.4712267 0.00000 0.00000 0.00000
-0.4993782 -0.4580737 0.3630901 0.00000 0.00000 0.00000
-0.5811597 -0.2708236 0.3313109 0.00000 0.00000 0.00000
-0.7737843 -0.6329819 1.0086240 0.00000 0.00000 0.00000
-0.6557422 -0.7331420 0.9016335 0.00000 0.00000 0.00000
-0.5021345 -0.8124707 0.7939328 0.00000 0.00000 0.00000
-0.3278711 -0.8583776 0.6989980 0.00000 0.00000 0.00000
-0.1547569 -0.8694293 0.6260440 0.00000 0.00000 0.00000
-0.1673782 -0.9403362 1.4146051 0.00000 0.00000 0.00000
-0.1749686 -0.9829795 1.2124055 0.00000 0.00000 0.00000
-0.1749686 -0.9829795 0.9961324 0.00000 0.00000 0.00000
-0.1673782 -0.9403362 0.7939328 0.00000 0.00000 0.00000
-0.3499372 -0.9161474 1.3205420 0.00000 0.00000 0.00000
-0.3583453 -0.9381603 1.1042690 0.00000 0.00000 0.00000
-0.3499372 -0.9161474 0.8879959 0.00000 0.00000 0.00000
-0.5249058 -0.8493154 1.2124055 0.00000 0.00000 0.00000
-0.5249058 -0.8493154 0.9961324 0.00000 0.00000 0.00000
-0.6695126 -0.7485379 1.1042690 0.00000 0.00000 0.00000
0.4782250 0.1547569 1.9736983 0.00000 0.00000 0.00000
0.4052709 0.3278711 1.9626466 0.00000 0.00000 0.00000
0.3103362 0.5021345 1.9167396 0.00000 0.00000 0.00000
0.2026355 0.6557422 1.8374110 0.00000 0.00000 0.00000
0.0956450 0.7737843 1.7372508 0.00000 0.00000 0.00000
-0.3103362 0.1673782 2.0446052 0.00000 0.00000 0.00000
-0.2162731 0.3499372 2.0204164 0.00000 0.00000 0.00000
-0.1081365 0.5249058 1.9535843 0.00000 0.00000 0.00000
-0.0000000 0.6695126 1.8528069 0.00000 0.00000 0.00000
-0.1081365 0.1749686 2.0872484 0.00000 0.00000 0.00000
-0.0000000 0.3583453 2.0424293 0.00000 0.00000 0.00000
0.1081365 0.5249058 1.9535843 0.00000 0.00000 0.00000
0.1081365 0.1749686 2.0872484 0.00000 0.00000 0.00000
0.2162731 0.3499372 2.0204164 0.00000 0.00000 0.00000
0.3103362 0.1673782 2.0446052 0.00000 0.00000 0.00000
0.3825800 0.0000000 2.0328101 0.00000 0.00000 0.00000
0.2026355 0.0000000 2.0878822 0.00000 0.00000 0.00000
0.0000000 0.0000001 2.1085379 0.00000 0.00000 0.00000
-0.2026355 0.0000000 2.0878822 0.00000 0.00000 0.00000
-0.3825800 0.0000000 2.0328101 0.00000 0.00000 0.00000
-0.4782250 -0.1547569 1.9736983 0.00000 0.00000 0.00000
-0.4052709 -0.3278711 1.9626466 0.00000 0.00000 0.00000
-0.3103362 -0.5021345 1.9167396 0.00000 0.00000 0.00000
-0.2026355 -0.6557422 1.8374110 0.00000 0.00000 0.00000
-0.0956450 -0.7737843 1.7372508 0.00000 0.00000 0.00000
0.3103362 -0.1673782 2.0446052 0.00000 0.00000 0.00000
0.2162731 -0.3499372 2.0204164 0.00000 0.00000 0.00000
0.1081365 -0.5249058 1.9535843 0.00000 0.00000 0.00000
0.0000000 -0.6695126 1.8528069 0.00000 0.00000 0.00000
0.1081365 -0.1749686 2.0872484 0.00000 0.00000 0.00000
0.0000000 -0.3583453 2.0424293 0.00000 0.00000 0.00000
-0.1081365 -0.5249058 1.9535843 0.00000 0.00000 0.00000
-0.1081365 -0.1749686 2.0872484 0.00000 0.00000 0.00000
-0.2162731 -0.3499372 2.0204164 0.00000 0.00000 0.00000
-0.3103362 -0.1673782 2.0446052 0.00000 0.00000 0.00000
0.3825800 0.0000000 0.1757278 0.00000 0.00000 0.00000
0.2026355 0.0000000 0.1206557 0.00000 0.00000 0.00000
0.0000001 0.0000000 0.1000000 0.00000 0.00000 0.00000
-0.2026355 0.0000000 0.1206557 0.00000 0.00000 0.00000
-0.3825800 0.0000000 0.1757278 0.00000 0.00000 0.00000
-0.4782250 0.1547569 0.2348397 0.00000 0.00000 0.00000
-0.4052709 0.3278711 0.2458913 0.00000 0.00000 0.00000
-0.3103362 0.5021345 0.2917983 0.00000 0.00000 0.00000
-0.2026355 0.6557422 0.3711269 0.00000 0.00000 0.00000
-0.0956450 0.7737843 0.4712871 0.00000 0.00000 0.00000
0.3103362 0.1673782 0.1639328 0.00000 0.00000 0.00000
0.2162731 0.3499372 0.1881215 0.00000 0.00000 0.00000
0.1081365 0.5249058 0.2549536 0.00000 0.00000 0.00000
0.0000000 0.6695126 0.3557311 0.00000 0.00000 0.00000
0.1081365 0.1749686 0.1212895 0.00000 0.00000 0.00000
0.0000000 0.3583453 0.1661087 0.00000 0.00000 0.00000
-0.1081365 0.5249058 0.2549536 0.00000 0.00000 0.00000
-0.1081365 0.1749686 0.1212895 0.00000 0.00000 0.00000
-0.2162731 0.3499372 0.1881215 0.00000 0.00000 0.00000
-0.3103362 0.1673782 0.1639328 0.00000 0.00000 0.00000
0.4782250 -0.1547569 0.2348397 0.00000 0.00000 0.00000
0.4052709 -0.3278711 0.2458913 0.00000 0.00000 0.00000
0.3103362 -0.5021345 0.2917983 0.00000 0.00000 0.00000
0.2026355 -0.6557422 0.3711269 0.00000 0.00000 0.00000
0.0956450 -0.7737843 0.4712871 0.00000 0.00000 0.00000
-0.3103362 -0.1673782 0.1639328 0.00000 0.00000 0.00000
-0.2162731 -0.3499372 0.1881215 0.00000 0.00000 0.00000
-0.1081365 -0.5249058 0.2549536 0.00000 0.00000 0.00000
-0.0000000 -0.6695126 0.3557311 0.00000 0.00000 0.00000
-0.1081365 -0.1749686 0.1212895 0.00000 0.00000 0.00000
-0.0000000 -0.3583453 0.1661087 0.00000 0.00000 0.00000
0.1081365 -0.5249058 0.2549536 0.00000 0.00000 0.00000
0.1081365 -0.1749686 0.1212895 0.00000 0.00000 0.00000
0.2162731 -0.3499372 0.1881215 0.00000 0.00000 0.00000
0.3103362 -0.1673782 0.1639328 0.00000 0.00000 0.00000
3 32 188
32 18 188
188 18 189
18 19 189
189 19 190
19 20 190
190 20 191
20 21 191
191 21 192
21 17 192
192 17 5
32 31 18
31 22 18
18 22 19
22 23 19
19 23 20
23 24 20
20 24 21
24 16 21
21 16 17
31 30 22
30 25 22
22 25 23
25 26 23
23 26 24
26 15 24
24 15 16
30 29 25
29 27 25
25 27 26
27 14 26
26 14 15
29 28 27
28 13 27
27 13 14
28 1 13
1 28 63
28 38 63
63 38 64
38 39 64
64 39 65
39 40 65
65 40 66
40 41 66
66 41 67
41 37 67
67 37 6
28 29 38
29 42 38
38 42 39
42 43 39
39 43 40
43 44 40
40 44 41
44 36 41
41 36 37
29 30 42
30 45 42
42 45 43
45 46 43
43 46 44
46 35 44
44 35 36
30 31 45
31 47 45
45 47 46
47 34 46
46 34 35
31 32 47
32 33 47
47 33 34
32 3 33
5 17 293
17 53 293
293 53 294
53 54 294
294 54 295
54 55 295
295 55 296
55 56 296
296 56 297
56 52 297
297 52 9
17 16 53
16 57 53
53 57 54
57 58 54
54 58 55
58 59 55
55 59 56
59 51 56
56 51 52
16 15 57
15 60 57
57 60 58
60 61 58
58 61 59
61 50 59
59 50 51
15 14 60
14 62 60
60 62 61
62 49 61
61 49 50
14 13 62
13 48 62
62 48 49
13 1 48
1 63 83
63 73 83
83 73 84
73 74 84
84 74 85
74 75 85
85 75 86
75 76 86
86 76 87
76 72 87
87 72 11
63 64 73
64 77 73
73 77 74
77 78 74
74 78 75
78 79 75
75 79 76
79 71 76
76 71 72
64 65 77
65 80 77
77 80 78
80 81 78
78 81 79
81 70 79
79 70 71
65 66 80
66 82 80
80 82 81
82 69 81
81 69 70
66 67 82
67 68 82
82 68 69
67 6 68
9 52 173
52 88 173
173 88 174
88 89 174
174 89 175
89 90 175
175 90 176
90 91 176
176 91 177
91 87 177
177 87 11
52 51 88
51 92 88
88 92 89
92 93 89
89 93 90
93 94 90
90 94 91
94 86 91
91 86 87
51 50 92
50 95 92
92 95 93
95 96 93
93 96 94
96 85 94
94 85 86
50 49 95
49 97 95
95 97 96
97 84 96
96 84 85
49 48 97
48 83 97
97 83 84
48 1 83
2 98 133
98 108 133
133 108 134
108 109 134
134 109 135
109 110 135
135 110 136
110 111 136
136 111 137
111 107 137
137 107 7
98 99 108
99 112 108
108 112 109
112 113 109
109 113 110
113 114 110
110 114 111
114 106 111
111 106 107
99 100 112
100 115 112
112 115 113
115 116 113
113 116 114
116 105 114
114 105 106
100 101 115
101 117 115
115 117 116
117 104 116
116 104 105
101 102 117
102 103 117
117 103 104
102 4 103
4 102 258
102 123 258
258 123 259
123 124 259
259 124 260
124 125 260
260 125 261
125 126 261
261 126 262
126 122 262
262 122 8
102 101 123
101 127 123
123 127 124
127 128 124
124 128 125
